序号,排名,企业名称,地区,是否A股上市,A股上市名称（股票名称）,股票代码,上市子公司（股票代码）,备注,分工
1,1,中国石油化工集团公司,北京,Y,中国石化,600028,众多,,熊洁旖
2,2,中国石油天然气集团公司,北京,Y,中国石油,601857,,,
3,3,上海汽车集团股份有限公司,上海,Y,上汽集团,600104,,,
4,4,东风汽车公司,湖北襄阳,Y,东风汽车,600006,,,
5,5,中国兵器装备集团公司,北京,N,,,西仪股份（002265）、东安动力（600178）、保变电气（600550）、中原特钢（002423）、长安汽车（000625）、湖南天雁（600698）、利达光电（002189）、江铃汽车（000550）,,
6,6,中国海洋石油总公司,香港,N,,00883（港股）,,,
7,7,中粮集团有限公司,北京,N,,,"中粮地产（000031）,中粮生化（000930）,中粮糖业（600737）",,
8,8,华为技术有限公司,深圳,N,,,,,
9,9,中国第一汽车集团公司,吉林长春,N,,,"一汽轿车（000800）,一汽夏利（000927）,一汽富维（600742）",,
10,10,中国兵器工业集团公司,,N,,,"北方国际（000065）,北化股份（002246）,长春一东（600148）,光电股份（600184）,北方股份（600262）,凌云股份（600480）,晋西车轴（600495）",,
11,11,中国中化集团公司,北京,N,,,"中化岩土(002542),中化国际(600500)",,
12,12,中国航空工业集团公司,北京,N,,,"中航善达(000043),中航飞机(000768),中航机电(002013),中航三鑫(002163),中航光电(002179),中航电测(300114),中行电子(600372),中行资本(600705),中航沈飞(600760),中航重机(600765)",,
13,13,山东魏桥创业集团有限公司,山东滨州,N,,,HK-魏桥纺织(02698),,
14,15,联想控股股份有限公司,北京,N(港股03396),,,佳沃股份（300268，创业板）,,
15,16,河钢集团有限公司,河北石家庄,Y,河钢股份,000709,,,
16,17,中国医药集团总公司,北京,Y,中国医药,600056,,,
17,18,中国化工集团公司,北京,N,,,沈阳化工(000698),,
18,19,中国中车集团公司,北京,Y,中国中车,601766,,,
19,20,宝钢集团有限公司,上海,Y,宝钢股份,600019,,,
20,21,中国船舶重工集团公司,北京,N,,,"中船科技(600072),中船防务(600685)",,
21,22,陕西延长石油（集团）有限责任公司,陕西延安,N,,,延长石油国际HK(00346),,
